item,name,description,type,category,subcategory,label,predicted_category
http://www.wikidata.org/entity/Q32786,916,2012 film by M. Mohanan,entity,films,film,cultural exclusive,cultural exclusive
http://www.wikidata.org/entity/Q371,!!!,American dance-punk band from California,entity,music,musical group,cultural representative,cultural representative
http://www.wikidata.org/entity/Q3729947,¡Soborno!,Mort & Phil comic,entity,comics and anime,comics,cultural representative,cultural exclusive
http://www.wikidata.org/entity/Q158611,+44,American band,entity,music,musical group,cultural representative,cultural representative
http://www.wikidata.org/entity/Q280375,1 Monk Street,"building in Monmouth, Wales",entity,architecture,building,cultural exclusive,cultural exclusive
http://www.wikidata.org/entity/Q104414508,100 percent corner,term for city center,concept,geography,city,cultural agnostic,cultural representative
http://www.wikidata.org/entity/Q3008535,1889 Apia cyclone,Category 1 South Pacific cyclone in 1889,entity,history,historical event,cultural agnostic,cultural exclusive
http://www.wikidata.org/entity/Q85720601,18th Abduction,novel by James patterson,entity,books,book,cultural agnostic,cultural representative
http://www.wikidata.org/entity/Q105570,20 July plot,"attempt to assassinate Adolf Hitler, 1944",entity,history,historical event,cultural exclusive,cultural representative
http://www.wikidata.org/entity/Q434841,20th Century Studios,American film studio owned by The Walt Disney Company,entity,media,film studio,cultural representative,cultural agnostic
http://www.wikidata.org/entity/Q4630640,20th-century French philosophy,philosophy-related events in France during the 20th century,entity,philosophy and religion,philosophical movement,cultural representative,cultural exclusive
http://www.wikidata.org/entity/Q5476713,21st Century Fox,American multinational mass media corporation (2013–2019),entity,media,media company,cultural representative,cultural representative
http://www.wikidata.org/entity/Q219293,2600: The Hacker Quarterly,American technology publication,entity,media,magazine,cultural representative,cultural exclusive
http://www.wikidata.org/entity/Q131401366,30th Critics' Choice Awards,30th Critics' Choice Awards for film and television,entity,media,television,cultural representative,cultural exclusive
http://www.wikidata.org/entity/Q520959,33 Whitecross Street,"listed building in Monmouth, Monmouthshire, Wales",entity,architecture,building,cultural exclusive,cultural exclusive
http://www.wikidata.org/entity/Q4635677,365 Media Group,former sports media company,entity,media,media company,cultural agnostic,cultural representative
http://www.wikidata.org/entity/Q2850042,3D animation,animation technique,entity,comics and anime,animation technique,cultural agnostic,cultural exclusive
http://www.wikidata.org/entity/Q229390,3D film,stereoscopic film,concept,films,film,cultural agnostic,cultural representative
http://www.wikidata.org/entity/Q2180721,48 Hour Film Project,National Film Festival,entity,films,film festival,cultural agnostic,cultural exclusive
http://www.wikidata.org/entity/Q1060398,4D film,film presented with synchronized physical effects,concept,films,film,cultural agnostic,cultural representative
http://www.wikidata.org/entity/Q4639659,5-hour Energy,energy shot drink,concept,food,drink,cultural agnostic,cultural exclusive
http://www.wikidata.org/entity/Q275936,900 North Michigan,architectural structure,entity,architecture,architectural structure,cultural exclusive,cultural exclusive
http://www.wikidata.org/entity/Q1758841,A Campingflight to Lowlands Paradise,music festival in Netherlands,concept,music,music festival,cultural exclusive,cultural exclusive
http://www.wikidata.org/entity/Q3602929,A La Vieille Russie,antique store in New York,entity,visual arts,art gallery,cultural representative,cultural exclusive
http://www.wikidata.org/entity/Q3728308,A las armas,Comic of Paling and Ko,entity,comics and anime,comics,cultural exclusive,cultural exclusive
